GUID,Level,Book,GrammarPoint,CleanGrammarPoint,Connection,MeaningCN,ExplanationCN,ExampleJP,ExampleCN,SimilarGrammar,FunctionCategory,SourceBatch,SourcePageImage,SourceType,Confidence,ReviewStatus,NoiseReason,Tags
ed876bfa735cad9f,Minna,大家的日语（第二版）初级2学习辅导书3A出版社,～ さん,～ さん,接续：～ さん。按原书条目和句中词形使用。,表示「さん」这一语法形式或助词用法,用于练习「～ さん」在句中的形式和基本功能；具体语义需结合前后文判断。,この文では（さん）の使い方を確認します。,这句话用于确认“～ さん”的用法。,同类或相近表达请结合原书相似语法页复习。,形式/用法,batch_01,大家的日语（第二版）初级2学习辅导书3A出版社__part_01-22.png,body_heading,50,auto_completed,,jp_grammar Minna 大家的日语_第二版_初级2学习辅导书3A出版社 batch_01 kept_needs_explanation auto_completed
b47c6727f6bfd9ba,Minna,大家的日语（第二版）初级2学习辅导书3A出版社,～ から,～ から,普通形 + か,因为；从,可表示原因，也可表示时间或空间起点。,彼が来る（か）分かりません。,不知道他是否会来。,同类或相近表达请结合原书相似语法页复习。,原因/起点,batch_01,大家的日语（第二版）初级2学习辅导书3A出版社__part_01-23.png,body_heading,50,auto_enriched,,jp_grammar Minna 大家的日语_第二版_初级2学习辅导书3A出版社 batch_01 auto_enriched auto_completed
71eaa81a31d52004,Minna,大家的日语（第二版）初级2学习辅导书3A出版社,形容詞の ( 代替名詞使用的 「 の 」 ),形容詞の(代替,普通形 + の,名词化；所属；说明,可表示所属、名词化，或替代前面提到的名词。,走る（の）が好きです。,我喜欢跑步。,同类或相近表达请结合原书相似语法页复习。,名词化/助词,batch_01,大家的日语（第二版）初级2学习辅导书3A出版社__part_01-23.png,body_heading,30,auto_completed,,jp_grammar Minna 大家的日语_第二版_初级2学习辅导书3A出版社 batch_01 kept_needs_explanation auto_completed
7e28f7ec2085f42a,N2,日语蓝宝书_N2,～ あげく ( に ),～ あげく(に),接续：～ あげく(に)。按原书条目和句中词形使用。,结果，最后,表示经过一段过程或反复之后，最后出现某个结果。多用于不理想的结果。,この文では（あげく(に)）の使い方を確認します。,这句话用于确认“～ あげく(に)”的用法。,同类或相近表达请结合原书相似语法页复习。,结果,batch_01,日语蓝宝书_N2__part_01-11.png,toc_or_heading,50,auto_enriched,,jp_grammar N2 日语蓝宝书_N2 batch_01 auto_enriched auto_completed
d2dfb15e8ff0e532,N2,日语蓝宝书_N2,～ あまり ( に ),～ あまり(に),接续：～ あまり(に)。按原书条目和句中词形使用。,过于...而,表示程度过高，由此引出后面的状态或结果。,この文では（あまり(に)）の使い方を確認します。,这句话用于确认“～ あまり(に)”的用法。,同类或相近表达请结合原书相似语法页复习。,程度/原因,batch_01,日语蓝宝书_N2__part_01-11.png,toc_or_heading,50,auto_enriched,,jp_grammar N2 日语蓝宝书_N2 batch_01 auto_enriched auto_completed
c9502eb51ea333e9,N2,日语蓝宝书_N2,～ 以上 ( は ),～ 以上(は),接续：～ 以上(は)。按原书条目和句中词形使用。,既然...就,表示在前项事实成立的前提下，后项是说话人认为当然的判断或义务。,この文では（以上(は)）の使い方を確認します。,这句话用于确认“～ 以上(は)”的用法。,同类或相近表达请结合原书相似语法页复习。,条件/判断,batch_01,日语蓝宝书_N2__part_01-11.png,toc_or_heading,50,auto_enriched,,jp_grammar N2 日语蓝宝书_N2 batch_01 auto_enriched auto_completed
a4c072210f5e6c9b,N2,日语蓝宝书_N2,～ 上で ( は ),～ 上で(は),接续：～ 上で(は)。按原书条目和句中词形使用。,在...之后；在...方面,表示先完成前项再做后项，也可表示从某个方面来看。,この文では（上で(は)）の使い方を確認します。,这句话用于确认“～ 上で(は)”的用法。,同类或相近表达请结合原书相似语法页复习。,时间/范围,batch_01,日语蓝宝书_N2__part_01-11.png,toc_or_heading,50,auto_enriched,,jp_grammar N2 日语蓝宝书_N2 batch_01 auto_enriched auto_completed
22b8c970fa2b55ef,N2,日语蓝宝书_N2,～ 上は,～ 上は,接续：～ 上は。按原书条目和句中词形使用。,既然...就,表示既然事情已经到了前项这种情况，就必须采取后项态度或行动。,この文では（上は）の使い方を確認します。,这句话用于确认“～ 上は”的用法。,同类或相近表达请结合原书相似语法页复习。,条件/义务,batch_01,日语蓝宝书_N2__part_01-11.png,toc_or_heading,50,auto_enriched,,jp_grammar N2 日语蓝宝书_N2 batch_01 auto_enriched auto_completed
7b9ae6b292009012,N2,日语蓝宝书_N2,～ うちに,～ うちに,接续：～ うちに。按原书条目和句中词形使用。,趁着...；在...期间,表示在某状态没有改变之前做某事，或在某期间内发生变化。,この文では（うちに）の使い方を確認します。,这句话用于确认“～ うちに”的用法。,同类或相近表达请结合原书相似语法页复习。,时间,batch_01,日语蓝宝书_N2__part_01-11.png,toc_or_heading,50,auto_enriched,,jp_grammar N2 日语蓝宝书_N2 batch_01 auto_enriched auto_completed
702e847b7d32662f,N2,日语蓝宝书_N2,～ うちは ～ ( よ ) うではないか / ( よ ) うじゃないか,～ うちは,接续：～ うちは。按原书条目和句中词形使用。,在...期间,表示某状态持续的期间内发生或应该做某事。,この文では（うちは）の使い方を確認します。,这句话用于确认“～ うちは”的用法。,同类或相近表达请结合原书相似语法页复习。,时间,batch_01,日语蓝宝书_N2__part_01-11.png,toc_or_heading,50,auto_enriched,,jp_grammar N2 日语蓝宝书_N2 batch_01 auto_enriched auto_completed
